id;model;msnbc;msnemb;OBCN;registeredDate;gpsId;qrCode;station.id;station.name;status;states;Lock RSOC;Lock voltage;location;lastCheckUp;totalTripsSinceLastCheckUp;tripsDurationSinceLastCheckUp;lastReportDate;totalTrips;tripsDurationTotal;Battery voltage;Battery temperature;Battery RSOC;Battery current;Motor odometer;custom1;Lock ID;Lock IMEI;Lock UICCID;Lock Status;Lock firmware;BCU firmware;Battery Firmware;Motor Firmware;nfcTagUid;Abandoned;Misparked;Last GPS Position;Last GPS Position Date;BCU Serial Number
624;ICONIC;T1067;0000829FC950000304E0;P0631022;3/5/2019 11:38;;NQVVTH;;;MISSING;MISSING;;;IN_USE;18/7/2025 08:53;3;8744;21/7/2025 15:08;8462;15754144;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:43;
703;ICONIC;T0526;000069D9B008000304E0;P0630996;3/5/2019 11:38;;NPAPHH;;;MISSING;MISSING;;;IN_USE;15/6/2025 19:51;9;6015;24/6/2025 16:24;7821;16601760;;;;;;;;;;;;;;;;false;false;0.0, 0.0;24/6/2025 15:02;
726;ICONIC;T2309;0000A2D4B008000304E0;P0631710;3/5/2019 22:28;;NHPNLF;;;MISSING;MISSING;;;IN_USE;16/7/2025 10:58;13;17095;20/7/2025 21:04;6041;9792367;;;;;;;;;;;;;;;;false;false;0.0, 0.0;20/7/2025 19:35;
769;ICONIC;T1125;0000198EC950000304E0;P0632526;6/5/2019 18:04;;FPSRXH;;;MISSING;MISSING;;;IN_USE;18/7/2025 03:49;6;28524;21/7/2025 14:38;8905;19089566;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:16;
7259;FIT;T4695;00001C2BD516500304E0;R005475;13/9/2024 10:40;;NTGBBH;;;MISSING;MISSING;;;IN_USE;17/7/2025 07:13;18;18994;21/7/2025 15:23;1035;1339754;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 14:08;
7286;FIT;T4718;0000428ED516500304E0;R000253;24/9/2024 18:17;;NUYFTC;;;MISSING;MISSING;;;IN_USE;8/7/2025 08:54;25;23327;21/7/2025 11:53;628;697475;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 10:31;
7293;FIT;T4728;0000411ED516500304E0;R104;24/9/2024 18:17;;NHPMFJ;;;MISSING;MISSING;;;IN_USE;12/7/2025 19:04;20;28952;21/7/2025 13:38;1079;1381532;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 12:15;
7368;FIT;T4799;7,58E+13;;16/12/2024 15:11;;NYIRZJ;;;MISSING;MISSING;;;IN_USE;3/7/2025 08:32;36;41940;12/7/2025 15:54;466;590200;;;;;;;;;;;;;;;;false;false;0.0, 0.0;12/7/2025 14:33;
4106;FIT;T1358;0000EC58C950000304E0;S/N 002658;26/5/2019 07:06;;NXKETB;;;MISSING;MISSING;;;IN_USE;18/7/2025 11:34;4;9782;21/7/2025 12:38;6838;10433638;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 11:11;
4182;ICONIC;T0515;000036D3B008000304E0;P0634519;17/7/2019 10:53;;FFPXDC;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4469;FIT;T1824;0000ED19B108000304E0;S/N230104296;15/7/2021 22:05;;FCJMPD;;;MISSING;MISSING;;;IN_USE;17/7/2025 09:36;15;25742;21/7/2025 14:38;4813;5795136;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:18;
4651;FIT;T2007;0000EF1BB108000304E0;S/N230105132;23/7/2021 15:30;;NWJFQB;;;MISSING;MISSING;;;IN_USE;4/1/2024 23:54;51;67947;17/1/2024 22:11;3354;3751306;;;;;;;;;;;;;;;;false;false;0.0, 0.0;17/1/2024 20:50;
4696;FIT;T2052;0000922EB108000304E0;S/N230106230;26/7/2021 18:50;;NQAIUE;;;MISSING;MISSING;;;IN_USE;9/7/2025 03:47;44;53398;21/7/2025 14:38;4998;6148444;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:15;
4708;FIT;T2064;00008A22B108000304E0;S/N230103547;26/7/2021 18:50;;NKRYBJ;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5739;FIT;T3137;00007345D116500304E0;S/N 115710;6/6/2022 13:13;;NABACG;;;MISSING;MISSING;;;IN_USE;15/7/2025 08:49;19;20147;21/7/2025 15:08;2863;3518637;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:49;
5935;FIT;T3333;000060A5CE16500304E0;S/N 004181;21/6/2022 16:59;;FPVPWF;;;MISSING;MISSING;;;IN_USE;20/7/2025 10:13;5;8408;21/7/2025 11:22;3119;3681155;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 10:02;
5985;FIT;T3383;0000FD8AD516500304E0;S/N 003760;22/6/2022 16:17;;NZCQXG;165;165 - PLAZA MONSEÑOR MIGUEL DE ANDREA;MISSING;MISSING;;;AT_STATION;18/7/2025 17:45;7;10429;21/7/2025 11:53;3122;3801127;;;;;;;;;;;;;;;;false;false;-34.597048, -58.407614;21/7/2025 10:55;
5986;FIT;T3384;00001F7FD216500304E0;S/N 003172;22/6/2022 16:17;;FQDXPB;;;MISSING;MISSING;;;IN_USE;20/7/2025 08:05;5;4298;21/7/2025 13:53;3043;3590240;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 12:27;
6139;FIT;T4164;00001E5ED116500304E0;S/N 006083;17/5/2023 17:09;;NMSCFI;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6329;FIT;T3920;00000C9BD516500304E0;S/N 005437;24/5/2023 19:22;;NSVRXK;;;MISSING;MISSING;;;IN_USE;27/3/2024 16:52;37;45783;5/4/2024 17:06;1060;1224496;;;;;;;;;;;;;;;;false;false;0.0, 0.0;5/4/2024 15:51;
1042;ICONIC;T1114;00009205B108000304E0;P0632957;7/5/2019 12:14;Si;FXMFRI;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1136;ICONIC;T1057;0000A32CB108000304E0;P0631541;7/5/2019 12:43;Si;FSBZSF;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1373;FIT;T1697;0000C32BC950000304E0;S/N 001958;7/5/2019 19:24;;NKDAHB;;;MISSING;MISSING;;;IN_USE;15/7/2025 03:04;20;29597;21/7/2025 15:08;5711;7165007;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:39;
1655;FIT;T1523;0000BB2AC950000304E0;S/N 002045;9/5/2019 12:05;;NGTITE;;;MISSING;MISSING;;;IN_USE;13/7/2025 20:25;17;29590;21/7/2025 11:38;4660;5855730;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 10:09;
1844;ICONIC;T0745;00001AF3C950000304E0;P0632730;9/5/2019 14:17;;FIIAEG;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4872;FIT;T2226;00002706B108000304E0;S/N 230101900;9/8/2021 17:44;;NNSHQI;;;MISSING;MISSING;;;IN_USE;17/7/2025 07:58;0;0;21/7/2025 15:23;4697;5234343;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 14:06;
4882;FIT;T2236;00002A49B108000304E0;S/N 230101853;9/8/2021 17:44;;FVPKAF;;;MISSING;MISSING;;;IN_USE;20/1/2023 11:44;67;67927;2/2/2023 02:32;2237;2452883;;;;;;;;;;;;;;;;false;false;0.0, 0.0;;
5096;FIT;T2490;00008E3FC950000304E0;S/N001370;30/9/2021 11:40;;NSNILE;;;MISSING;MISSING;;;IN_USE;7/7/2025 09:10;31;76191;21/7/2025 14:23;3952;5652113;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:03;
5131;FIT;T2526;0000BF9D8D13500304E0;S/N 000821;3/11/2021 10:28;;NJLECB;;;MISSING;MISSING;;;IN_USE;16/7/2025 12:17;11;13937;21/7/2025 14:38;1807;2129497;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:22;
5200;FIT;T2595;00008F5AC950000304E0;S/N 001315;16/11/2021 09:58;;NRBVWE;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5307;FIT;T2700;000098278D13500304E0;S/N 002450;19/1/2022 17:08;;NFCXZF;;;MISSING;MISSING;;;IN_USE;12/7/2025 09:43;6;1817;21/7/2025 15:23;2993;3968399;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 14:06;
5379;FIT;T2772;0000B32B2B10500304E0;S/N 003070;19/1/2022 17:08;;NHWPDG;;;MISSING;MISSING;;;IN_USE;7/7/2025 02:07;21;26523;20/7/2025 21:34;3531;4162773;;;;;;;;;;;;;;;;false;false;0.0, 0.0;20/7/2025 20:19;
5485;FIT;T2878;0000BB098E13500304E0;S/N 001046;19/1/2022 17:08;;NHUKND;;;MISSING;MISSING;;;IN_USE;18/7/2025 11:34;7;14068;21/7/2025 14:23;3421;4280657;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 12:54;
5503;FIT;T2897;000065AB2B10500304E0;S/N 001060;26/1/2022 16:02;;NCSMXI;;;MISSING;MISSING;;;IN_USE;20/7/2025 01:03;0;0;21/7/2025 14:38;3082;3503875;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:18;
5571;FIT;T2966;000030032C10500304E0;S/N 002869;27/1/2022 17:00;;NSJZYH;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5607;FIT;T3003;0000D957C950000304E0;S/N 003379;27/1/2022 17:00;;NUPBOH;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4753;FIT;T2115;00003C1DB108000304E0;S/N 230107040;30/7/2021 18:05;;NJXXZE;58;058 - Ministro Carranza;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;16/7/2025 03:52;5;21751;18/7/2025 18:24;4506;5441045;;;;;;;;;;;;;;;;false;false;-34.5752773, -58.4346883;18/7/2025 18:24;
4760;FIT;T2122;0000EF5FB108000304E0;S/N 230104798;30/7/2021 18:05;;NNRYCE;5;005 - Plaza Italia;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;10/7/2025 09:35;35;41691;21/7/2025 08:29;4267;4817371;;;;;;;;;;;;;;;;false;false;-34.5805497, -58.4209542;21/7/2025 08:29;
4762;FIT;T2124;0000A907B108000304E0;S/N 230105362;30/7/2021 18:05;;NAOBFJ;444;061 - Ministerio de Economia;WRENCH_PRESSED;LOCKDOWN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4778;FIT;T2140;0000B608B108000304E0;S/N 230102005;30/7/2021 18:05;;NHAEXK;6;006 - Parque Lezama;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;7/7/2025 03:53;26;22207;17/7/2025 16:52;4522;5237690;;;;;;;;;;;;;;;;false;false;-34.628526, -58.369758;17/7/2025 16:52;
4781;FIT;T2143;000066928D13500304E0;S/N 230100585;30/7/2021 18:05;;NMKNKD;590;392 - CHARCAS;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;15/7/2025 09:03;12;9265;21/7/2025 14:04;4910;5431426;;;;;;;;;;;;;;;;false;false;-34.58686608967169, -58.42142570059433;21/7/2025 14:04;
4782;FIT;T2144;00002A1AB108000304E0;S/N 230103114;30/7/2021 18:05;;NNJXFG;503;212 - TRES ARROYOS;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;17/7/2025 09:55;2;1053;18/7/2025 08:54;4629;5611761;;;;;;;;;;;;;;;;false;false;-34.6072013, -58.45640650000001;18/7/2025 08:54;
4783;FIT;T2145;00009F02B108000304E0;S/N 230107712;30/7/2021 18:05;;NLGSJB;428;225 - HOSPITAL TORNU;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;15/7/2025 03:47;3;2554;17/7/2025 16:41;4466;5062125;;;;;;;;;;;;;;;;false;false;-34.587458, -58.4739506;17/7/2025 16:41;
4800;FIT;T2162;0000EB05B108000304E0;S/N 230103504;30/7/2021 18:05;;NMHRBG;111;111 - MACACHA GUEMES;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;11/7/2025 10:44;13;11947;18/7/2025 02:08;4742;5579465;;;;;;;;;;;;;;;;false;false;-34.6054877, -58.3646858;18/7/2025 02:08;
4806;FIT;T2168;0000A51DB108000304E0;S/N 230107681;30/7/2021 18:05;;NUFRUK;153;153 - JUAN MANUEL DE BLANES;WRENCH_PRESSED;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4808;FIT;T2170;0000FD19B108000304E0;S/N 230107858;30/7/2021 18:05;;NIHBMC;373;265 - Plaza Exodo Jujeño;WRENCH_PRESSED;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4825;FIT;T2187;00006BC5B008000304E0;S/N 230107122;30/7/2021 18:05;;NLKQBB;83;083 - Paraná;WRENCH_PRESSED;LOCKDOWN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4826;FIT;T2188;000093ECB008000304E0;S/N 230107665;30/7/2021 18:05;;NQGFMC;248;346 - Plaza Zapiola;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;13/7/2025 11:41;14;5612;20/7/2025 20:43;4370;4624536;;;;;;;;;;;;;;;;false;false;-34.573522, -58.474635;20/7/2025 20:43;
4829;FIT;T2191;0000CC48B108000304E0;S/N 000602;30/7/2021 18:05;;NWKZQI;236;254 - Plaza Rafael Hernandez;WRENCH_PRESSED;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4853;FIT;T2207;00004D16CF16500304E0;S/N 230107569;9/8/2021 17:43;;NQJZNE;501;020 - GRECIA;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;19/7/2025 18:03;0;0;19/7/2025 18:03;4119;4699039;;;;;;;;;;;;;;;;false;false;-34.5492488, -58.46194079999999;19/7/2025 18:03;
4860;FIT;T2214;0000CCB5C950000304E0;S/N 230100050;9/8/2021 17:44;;NGYQQC;479;347 - CARABOBO;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;15/7/2025 16:23;4;4845;19/7/2025 13:16;3848;8247970;;;;;;;;;;;;;;;;false;false;-34.6262877, -58.45530009999999;19/7/2025 13:16;
4889;FIT;T2243;000071D4B008000304E0;S/N 230107798;9/8/2021 17:44;;NJAJYB;152;152 - JULIETA LANTERI;WRENCH_PRESSED;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4917;FIT;T2271;0000E99EC950000304E0;R006773;9/8/2021 17:44;;FUZWJD;4;004 - Plaza Roma;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;15/7/2025 08:36;4;657;17/7/2025 12:29;5417;5909066;;;;;;;;;;;;;;;;false;false;-34.6030082348981, -58.36885646243477;17/7/2025 12:29;
4919;FIT;T2273;0000A20AB108000304E0;S/N 230104418;9/8/2021 17:44;;FZFVVG;222;160 - Godoy Cruz y Libertador;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;17/7/2025 12:16;3;2809;21/7/2025 10:29;4381;5043194;;;;;;;;;;;;;;;;false;false;-34.5759189160704, -58.41854288458634;21/7/2025 10:29;
4926;FIT;T2280;0000B2D7B008000304E0;S/N 230106324;9/8/2021 17:44;;NVHQEC;383;263 - Plaza Echeverria;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;7/7/2025 19:36;38;31242;15/7/2025 15:27;5173;5784371;;;;;;;;;;;;;;;;false;false;-34.5717986, -58.48954089999999;15/7/2025 15:27;
4942;FIT;T2296;0000C3C5B008000304E0;S/N 003588;9/8/2021 17:44;;NDBORG;128;128 - PARQUE DEL BAJO;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;14/7/2025 19:44;12;6781;18/7/2025 07:54;4071;4826161;;;;;;;;;;;;;;;;false;false;-34.60515159, -58.36882117;20/7/2025 15:28;
4948;FIT;T2342;000019E7D016500304E0;S/N 000645;30/9/2021 11:40;;NHSYPJ;165;165 - PLAZA MONSEÑOR MIGUEL DE ANDREA;WRENCH_PRESSED;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4951;FIT;T2345;0000031FB108000304E0;S/N001456;30/9/2021 11:40;;FCUMDF;385;268 - Plaza Aristóbulo Del Valle;WRENCH_PRESSED;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4954;FIT;T2348;0000D3D2B008000304E0;S/N000253;30/9/2021 11:40;;NCWWID;208;145 - RAVIGNANI;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;20/7/2025 20:09;1;34;21/7/2025 07:32;4191;5377017;;;;;;;;;;;;;;;;false;false;-34.5807161, -58.43840400000001;21/7/2025 07:32;
4962;FIT;T2356;0000C10AB108000304E0;S/N001465;30/9/2021 11:40;;FRGJTI;549;095 - EMILIO CASTRO;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;8/7/2025 03:28;28;35320;18/7/2025 13:06;4411;5664452;;;;;;;;;;;;;;;;false;false;-34.649701, -58.51078;18/7/2025 13:06;
4965;FIT;T2359;000052EBB008000304E0;S/N001485;30/9/2021 11:40;;NGOCFC;144;144 - PUEYRREDÓN;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;17/7/2025 09:36;24;28451;21/7/2025 12:25;3353;3892086;;;;;;;;;;;;;;;;false;false;-34.6018744, -58.4060944;21/7/2025 12:25;
4975;FIT;T2369;0000A8D7B008000304E0;SN/001466;30/9/2021 11:40;;NKCBMB;3;003 - ADUANA;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;13/7/2025 07:38;19;20934;19/7/2025 21:24;4318;4995855;;;;;;;;;;;;;;;;false;false;-34.61220714255728, -58.36912906378899;19/7/2025 21:24;
4981;FIT;T2375;000075D7B008000304E0;S/N000704;30/9/2021 11:40;;NYDYVC;126;126 - Ministerio de Justicia y Seguridad;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;7/7/2025 17:24;2;1174;21/7/2025 15:20;3339;3632496;;;;;;;;;;;;;;;;false;false;-34.63922546953217, -58.36958898591383;21/7/2025 15:20;
5053;FIT;T2447;00000D5FB108000304E0;S/N000538;30/9/2021 11:40;;FCXPOK;549;095 - EMILIO CASTRO;WRENCH_PRESSED;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5103;FIT;T2498;00003B9FC950000304E0;S/N 001255;3/11/2021 10:28;;NBFXJI;491;266 - PLAZA SABATTINI;WRENCH_PRESSED;WRENCH_PRESSED;;;AT_STATION;17/7/2025 10:48;3;573;18/7/2025 18:24;3787;4901348;;;;;;;;;;;;;;;;false;false;-34.61200399005994, -58.44215423439331;18/7/2025 18:24;
